DATE,TIME,OPEN,HIGH,LOW,CLOSE,BollUp1,Boll1,BollDown1,BollUp2,Boll2,BollDown2,BollUp3,Boll3,BollDown3,SuperTrend,MACD,Signal,Histogram,RSI,%K,%D,ADX,ADXR,HistoricalVolatility,Returns,Target
07-Sep-18,11:03:00,11562.5,11563.65,11558.9,11559.5,11570.32,11558.35,11546.37,11568.61,11558.35,11548.08,11566.9,11558.35,11549.79,11550.09,3.6,4.5,-0.9,57.03,53.18,40.9,30.49,33.1,0.4,0.000103816,1
07-Sep-18,11:02:00,11558.85,11562.25,11558.45,11562.1,11570.84,11557.96,11545.08,11569,11557.96,11546.92,11567.16,11557.96,11548.76,11550.09,3.77,4.73,-0.96,61.13,40.33,39.11,30.91,33.06,0.39,0.000224898,1
07-Sep-18,11:01:00,11555.2,11558.75,11555.2,11558.6,11570.12,11557.66,11545.2,11568.34,11557.66,11546.98,11566.56,11557.66,11548.76,11550.09,3.67,4.97,-1.3,57.29,33.38,40.94,31.64,33.07,0.4,-0.000302759,0
07-Sep-18,11:00:00,11557.85,11557.85,11553.1,11554.45,11570.05,11557.62,11545.18,11568.28,11557.62,11546.96,11566.5,11557.62,11548.73,11550.09,3.84,5.29,-1.44,52.07,34.92,45.34,33.15,33.61,0.39,-0.000359104,0
07-Sep-18,10:59:00,11557.55,11559.9,11557.55,11557.75,11570.19,11557.56,11544.94,11568.39,11557.56,11546.74,11566.58,11557.56,11548.55,11550.09,4.44,5.65,-1.21,57.23,42.7,50.88,34.99,34.5,0.38,0.000285563,1
07-Sep-18,10:58:00,11555.95,11557.6,11555.7,11557.55,11570.15,11557.5,11544.85,11568.34,11557.5,11546.65,11566.53,11557.5,11548.46,11550.09,4.79,5.95,-1.17,56.99,44.24,56.75,35.63,34.99,0.4,-1.73E-05,0
07-Sep-18,10:57:00,11558.95,11558.95,11553.9,11555.45,11570.19,11557.35,11544.51,11568.35,11557.35,11546.34,11566.52,11557.35,11548.18,11550.09,5.19,6.25,-1.05,54.5,49.49,65.3,36.78,35.72,0.4,-0.000181716,0
07-Sep-18,10:56:00,11560.6,11562.5,11558.3,11558.5,11570.97,11557.08,11543.2,11568.98,11557.08,11545.18,11567,11557.08,11547.17,11550.09,5.84,6.51,-0.67,59.12,55.35,73.89,38.02,36.29,0.42,0.00026391,1
07-Sep-18,10:55:00,11558.65,11560.55,11558.1,11560.1,11571.2,11556.71,11542.23,11569.13,11556.71,11544.3,11567.06,11556.71,11546.37,11550.09,6.28,6.68,-0.4,61.66,62.65,81.81,37.89,35.47,0.43,0.000138417,1
07-Sep-18,10:54:00,11562.75,11562.8,11558.3,11558.3,11572.6,11555.94,11539.28,11570.22,11555.94,11541.66,11567.84,11555.94,11544.04,11550.09,6.58,6.78,-0.2,59.85,72.04,88.24,38.07,34.84,0.49,-0.00015572,0
07-Sep-18,10:53:00,11563.8,11564.6,11561.25,11562.05,11575.17,11555.04,11534.91,11572.29,11555.04,11537.79,11569.42,11555.04,11540.66,11550.09,7.05,6.82,0.23,65.84,86.96,92.31,38.19,34.21,0.51,0.00032439,1
07-Sep-18,10:52:00,11561.35,11566.2,11561.1,11564.4,11579.37,11553.49,11527.61,11575.67,11553.49,11531.3,11571.97,11553.49,11535,11550.09,7.17,6.77,0.4,69.92,92.47,92.36,37.27,32.9,0.51,0.000203231,1
07-Sep-18,10:51:00,11560.05,11562.2,11559.6,11561.6,11584.38,11551.37,11518.37,11579.66,11551.37,11523.08,11574.95,11551.37,11527.8,11547.53,6.97,6.67,0.31,67.71,94.95,89.81,36.27,31.6,0.54,-0.000242152,0
07-Sep-18,10:50:00,11561,11561.55,11558.75,11560.15,11586.42,11549.56,11512.71,11581.16,11549.56,11517.97,11575.89,11549.56,11523.24,11546.16,6.91,6.59,0.32,66.52,94.77,86.37,35.71,30.65,0.56,-0.000125423,0
07-Sep-18,10:49:00,11559.2,11561.8,11559.2,11561.35,11586.53,11548.02,11509.51,11581.03,11548.02,11515.01,11575.53,11548.02,11520.52,11545.89,6.88,6.51,0.37,68.45,92.4,83.49,35.2,29.67,0.55,0.000103799,1
07-Sep-18,10:48:00,11554.75,11559.3,11554.3,11558.7,11584.98,11546.56,11508.14,11579.49,11546.56,11513.63,11574,11546.56,11519.12,11541.6,6.62,6.42,0.2,66.46,87.22,82.75,34.5,28.84,0.57,-0.000229238,0
07-Sep-18,10:47:00,11553.95,11556.3,11553.95,11554.15,11584.08,11545.07,11506.07,11578.5,11545.07,11511.64,11572.93,11545.07,11517.21,11541.34,6.46,6.37,0.09,62.71,79.69,83.52,34.06,28.41,0.57,-0.00039372,0
07-Sep-18,10:46:00,11550.2,11553.65,11550,11553.65,11583.2,11544,11504.8,11577.6,11544,11510.4,11572,11544,11516,11541.34,6.62,6.35,0.27,62.28,77.79,86.08,34.01,29.06,0.57,-4.33E-05,0
07-Sep-18,10:45:00,11551.65,11554.1,11550.2,11550.2,11581.88,11543.08,11504.28,11576.34,11543.08,11509.82,11570.79,11543.08,11515.37,11541.34,6.78,6.28,0.5,59.26,80.33,88.8,34.35,29.61,0.57,-0.000298652,0
07-Sep-18,10:44:00,11557.3,11558.15,11551.85,11552.1,11581.01,11542.37,11503.73,11575.49,11542.37,11509.25,11569.97,11542.37,11514.77,11541.34,7.24,6.15,1.09,61.79,88.71,91.35,34.66,30.4,0.56,0.000164486,1
07-Sep-18,10:43:00,11558.2,11560,11556.4,11556.4,11579.66,11541.45,11503.23,11574.21,11541.45,11508.69,11568.75,11541.45,11514.15,11541.34,7.53,5.88,1.64,67.86,91.1,92.2,34.55,31.19,0.55,0.000372157,1
07-Sep-18,10:42:00,11553.9,11558.4,11553.05,11557.85,11576.94,11540.17,11503.4,11571.69,11540.17,11508.65,11566.44,11540.17,11513.9,11538.19,7.35,5.47,1.88,70.01,92.45,92.23,33.06,31.19,0.56,0.000125464,1
07-Sep-18,10:41:00,11556.65,11556.65,11552.45,11553.45,11572.89,11538.95,11505.02,11568.04,11538.95,11509.86,11563.19,11538.95,11514.71,11537.55,6.86,5,1.86,67.07,91.43,92.01,31.61,31.28,0.56,-0.000380766,0
07-Sep-18,10:40:00,11554.95,11558.55,11553.1,11556.5,11569.92,11538.16,11506.4,11565.39,11538.16,11510.94,11560.85,11538.16,11515.48,11537.55,6.59,4.54,2.05,71.6,93.05,88.86,30.22,30.85,0.55,0.000263956,1
07-Sep-18,10:39:00,11550.35,11556.35,11547.25,11554.7,11565.36,11537.32,11509.28,11561.35,11537.32,11513.28,11557.34,11537.32,11517.29,11533.32,5.84,4.02,1.81,70.5,92.98,79.41,28.54,29.86,0.55,-0.000155769,0
07-Sep-18,10:38:00,11550.55,11552.4,11548.45,11550.4,11560.56,11536.43,11512.31,11557.11,11536.43,11515.75,11553.66,11536.43,11519.2,11532.92,4.98,3.57,1.41,67.76,91.26,64.38,26.93,28.9,0.54,-0.000372212,0
07-Sep-18,10:37:00,11544.35,11553.3,11543.65,11551.5,11556.82,11535.62,11514.42,11553.79,11535.62,11517.45,11550.76,11535.62,11520.48,11530.34,4.24,3.22,1.02,69.29,91.32,47.17,25.59,28.31,0.54,9.52E-05,1
07-Sep-18,10:36:00,11540.9,11547.85,11539.75,11545.4,11551.38,11534.71,11518.04,11549,11534.71,11520.42,11546.62,11534.71,11522.8,11526.87,3.13,2.96,0.17,65.24,75.7,33.01,24.14,27.79,0.53,-0.000528209,0
